id	Sex	TrueID	BestAgeLastCapture2	Alive	FirstPL	LastPL	EstAgePL	BestAgeFirstCapture2	FirstCapYear2	LastCapYear2
S135	Female	112000000030800	14	N	148	158.35	9.329586083	6	2007	2015
S1459	Female	108000000020900	18	Y	148	162.5	9.329586083	6	2006	2018
S2002	Female	103110000110000	27.9	Y	148	165.04	9.329586083	6.9	1996	2017
S2003	Female	109000000111200	18.5	Y	148	164.93	9.329586083	6.5	2005	2017
S2019	Female	101020800120000	13.2	Y	148	165.09	9.329586083	7.3	2011	2017
S2043	Female	109110000031200	13	Y	148	155.27	9.329586083	6	2010	2017
S205	Female	102030000030810	10	Y	148	155	9.329586083	5	2013	2018
S2162	Male	209100000101200	8.9	N	148	148	8.862566021	8.9	2015	2015
S48	Female	102000000080900	21.5	Y	148	158	9.329586083	8.6	2005	2018
S540	Male	210000000081000	9.9	N	148	149.3	8.862566021	8.9	2014	2015
S591	Female	101080000080900	9	N	148	154	9.329586083	5	2001	2005
S610	Female	102030000010212	16.9	Y	148	156	9.329586083	6	2007	2018
S619	Female	102090000100000	17.3	N	148	161	9.329586083	9.4	1995	2003
S649	Female	108120000030000	22	N	148	156.24	9.329586083	5	1997	2014
S724	Female	102030000020800	14.5	N	148	161	9.329586083	7.5	2005	2012
S74	Female	103090000080000	31.4	Y	148	163	9.329586083	9.5	1996	2018
S798	Female	110120000031200	10	N	148	156.57	9.329586083	5	2011	2016
S818	Female	112000000081200	10	N	148	157	9.329586083	6	2009	2013
S825	Female	109110000030900	13	Y	148	162	9.329586083	5	2010	2018
S851	Female	108120000111200	14.7	Y	148	161	9.329586083	6.8	2010	2018
S913	Female	102080000080000	18.3	N	148	161	9.329586083	9.4	1995	2004
S928	Female	101100000031000	8	N	148	150	9.329586083	7	2002	2003
S938	Female	101100000011000	17	N	148	154	9.329586083	7	2002	2012
S948	Female	109100000010000	25	N	148	167.89	9.329586083	7.3	1997	2015
S2164	Male	211000000011000	8.9	N	148.2	148.2	8.927208784	9	2014	2014
S1057	Female	101000000021200	15	N	148.7	159.3	9.456920559	5	2004	2014
S696	Female	101091200100000	9	Y	148.8	152	9.475311375	4	2013	2018
S46	Male	201120000030800	15.2	N	148.9	148	9.162418104	9.2	2008	2014
S1010	Male	202120000081200	9.2	N	149	149	9.197225163	9.2	2011	2011
S125	Female	110000000010800	19.7	Y	149	163.5	9.512245911	7.7	2006	2018
S1312	Female	112000000021200	9	N	149	151	9.512245911	9	2009	2012
S1372	Female	103000000030809	10	Y	149	158	9.512245911	5	2013	2018
S2039	Female	101031000080000	11.6	Y	149	155.35	9.512245911	6.6	2012	2017
S626	Female	108000000081000	16	N	149	162.3	9.512245911	9	2006	2013
S729	Female	103000000021200	19.4	Y	149	164	9.512245911	5.5	2004	2018
S731	Female	103080000091000	14	N	149	164	9.512245911	7	2005	2012
S733	Female	103081000080000	27	Y	149	177	9.512245911	5	1996	2018
S778	Female	110120000010300	13	Y	149	157	9.512245911	6	2011	2018
S832	Female	109120000031000	13	Y	149	160.31	9.512245911	7	2010	2017
S869	Female	101030800110000	12.6	N	149	153.5	9.512245911	7.7	2011	2016
S915	Female	103100000090000	16.5	N	149	158	9.512245911	9.6	1996	2003
S947	Male	201020000010000	12.2	N	149	150	9.197225163	9.2	2000	2003
S969	Female	109000000091200	19.5	Y	149	162	9.512245911	6.5	2005	2018
S1463	Female	408110000091100	9.6	Y	149.04	159.56	9.519657	9.6	2013	2016
S1302	Female	112000000030900	10.7	N	150	158	9.700051757	9.8	2007	2008
S1454	Female	103000000030000	16	N	150	162	9.700051757	8.9	1995	2003
S2008	Female	101020900020000	11	Y	150	163	9.700051757	5	2012	2018
S2051	Female	108110000100000	29.5	Y	150	153.18	9.700051757	9.6	1997	2017
S229	Male	202090000011200	9.6	N	150	150	9.563802778	9.6	2011	2011
S25	Female	108000000110000	28.5	Y	150	174	9.700051757	7.5	1997	2018
S49	Female	102030000010209	18.9	N	150	154.78	9.700051757	9	2005	2015
S607	Female	101100000090000	15	N	150	159	9.700051757	8.1	1995	2003
S690	Female	101091000120000	11.4	Y	150	158	9.700051757	6.5	2013	2018
S861	Female	102080000090000	32.4	Y	150	169	9.700051757	10.4	1995	2018
S925	Female	108100000111200	12.6	N	150	161	9.700051757	6.7	2006	2012
S932	Female	102090000031200	14.6	N	150	156	9.700051757	7.6	2003	2010
S939	Female	102030000081000	21.2	Y	150	160.73	9.700051757	6.2	2002	2017
S952	Female	108090000030900	10.2	N	150.2	150.2	9.738256255	10.2	2008	2008
S2099	Female	103120000031100	14.9	N	150.3	158.67	9.757440921	7	2008	2016
S2068	Female	102030800080000	10	Y	150.4	165	9.776680953	6	2014	2018
S2123	Female	102031200090000	9	Y	150.6	155	9.815328405	6	2015	2018
S2095	Female	102091100110000	18.4	Y	150.91	153.5	9.87567826	16.4	2016	2018
S1017	Male	203090000081000	10	N	151	151	9.96903553	10	2011	2011
S1211	Female	109120000020000	10.7	N	151	151	9.893302003	10.8	1998	1998
